No,Student ID,Mid Term,End Term,Lab,Extra
1,18127019,10,10,9,0
2,18127020,5,2,6,2
3,18127021,3,5,8,1
4,18127022,2,7,4,2
5,18127037,5,4,6,2
6,18127039,7,1,3,0
7,18127040,9,4,7,1
8,18127041,6,6,8,0
9,18127042,7,7,4,2
10,18127044,4,8,1,0
11,18127046,6,4,4,2
12,18127047,8,7,6,1
13,18127051,10,8,5,0
14,18127053,8,5,4,2
15,18127054,7,2,4,2
16,18127055,6,9,5,0
17,18127056,8,1,5,1
18,18127060,5,6,5,1
19,18127069,3,4,6,1
20,18127100,9,9,3,2
21,18127113,6,5,4,1
22,18127117,2,4,7,2
23,18127120,9,7,8,0
24,18127144,8,5,5,1
25,18127145,8,7,4,1
26,18127154,9,6,7,2
27,18127155,7,6,9,1
28,18127184,7,4,5,2
29,18127194,5,7,4,2
30,18127206,7,8,3,1
31,18127218,9,8,7,2
32,18127225,6,1,8,1
33,18127248,7,5,5,2
34,18127255,6,4,2,2
35,18127260,5,7,1,1
36,18127261,5,8,5,2
37,18127266,6,2,6,1
38,18127271,7,6,8,1
