No,Student ID,Mid Term,End Term,Lab,Extra
1,18127138,1,10,1,1
2,18127115,2,1,2,2
3,18127119,5,2,9,3
4,18127137,6,5,7,1
5,18127219,1,7,5,1
6,18127241,6,4,3,0
7,18127121,3,2,6,0
8,18127270,5,4,8,1
9,18127213,7,2,4,2
10,18127212,4,5,6,2
11,18127091,2,7,7,1
12,18127230,1,5,3,1
13,18127135,3,3,5,1
14,18127227,6,5,7,0
15,18127090,7,2,2,2
16,18127232,4,4,4,2
17,18127159,3,6,5,3
18,18127107,5,9,2,0
19,18127165,7,1,4,0
20,18127156,4,3,6,1
21,18127114,3,5,8,2
22,18127250,7,7,4,3
23,18127076,8,3,6,1
24,18127086,1,2,3,2
25,18127199,3,4,5,2
26,18127158,4,6,7,1
27,18127128,6,8,8,3
28,18127198,7,9,4,2
29,18127085,3,6,7,2
30,18127245,5,0,2,3
31,18127229,10,1,4,1
32,18127211,3,2,7,0
33,18127089,1,3,2,0
34,18127162,5,5,4,1
35,18127134,7,6,9,2
36,18127190,8,7,10,1
37,18127180,4,3,1,0
38,18127063,2,5,2,2
