No,Student ID,Mid Term,End Term,Lab,Extra
1,18127057,10,10,9,0
2,18127058,5,2,6,2
3,18127059,3,5,8,1
4,18127061,2,7,4,2
5,18127064,5,4,6,2
6,18127077,7,1,3,0
7,18127081,9,4,7,1
8,18127096,6,6,8,0
9,18127102,7,7,4,2
10,18127104,4,8,1,0
11,18127108,6,4,4,2
12,18127122,8,7,6,1
13,18127123,10,8,5,0
14,18127127,8,5,4,2
15,18127129,7,2,4,2
16,18127150,6,9,5,0
17,18127152,8,1,5,1
18,18127160,5,6,5,1
19,18127163,3,4,6,1
20,18127166,9,9,3,2
21,18127174,6,5,4,1
22,18127178,2,4,7,2
23,18127181,9,7,8,0
24,18127182,8,5,5,1
25,18127191,8,7,4,1
26,18127201,9,6,7,2
27,18127203,7,6,9,1
28,18127205,7,4,5,2
29,18127210,5,7,4,2
30,18127214,7,8,3,1
31,18127220,9,8,7,2
32,18127222,6,1,8,1
33,18127224,7,5,5,2
34,18127239,6,4,2,2
35,18127243,5,7,1,1
36,18127249,5,8,5,2
37,18127253,6,2,6,1
38,18127258,7,6,8,1
