No,Student ID,Mid Term,End Term,Lab,Extra
1,18127065,1,10,1,1
2,18127066,2,1,2,2
3,18127070,5,2,9,3
4,18127073,6,5,7,1
5,18127074,1,7,5,1
6,18127078,6,4,3,0
7,18127093,3,2,6,0
8,18127094,5,4,8,1
9,18127109,7,2,4,2
10,18127110,4,5,6,2
11,18127111,2,7,7,1
12,18127130,1,5,3,1
13,18127131,3,3,5,1
14,18127139,6,5,7,0
15,18127140,7,2,2,2
16,18127141,4,4,4,2
17,18127142,3,6,5,3
18,18127143,5,9,2,0
19,18127147,7,1,4,0
20,18127148,4,3,6,1
21,18127153,3,5,8,2
22,18127168,7,7,4,3
23,18127169,8,3,6,1
24,18127176,1,2,3,2
25,18127177,3,4,5,2
26,18127183,4,6,7,1
27,18127186,6,8,8,3
28,18127188,7,9,4,2
29,18127192,3,6,7,2
30,18127204,5,0,2,3
31,18127215,10,1,4,1
32,18127216,3,2,7,0
33,18127217,1,3,2,0
34,18127234,5,5,4,1
35,18127238,7,6,9,2
36,18127247,8,7,10,1
37,18127257,4,3,1,0
38,18127264,2,5,2,2
