No,Student ID,Mid Term,End Term,Lab,Extra
1,18127065,10,10,9,0
2,18127066,5,2,6,2
3,18127070,3,5,8,1
4,18127073,2,7,4,2
5,18127074,5,4,6,2
6,18127078,7,1,3,0
7,18127093,9,4,7,1
8,18127094,6,6,8,0
9,18127109,7,7,4,2
10,18127110,4,8,1,0
11,18127111,6,4,4,2
12,18127130,8,7,6,1
13,18127131,10,8,5,0
14,18127139,8,5,4,2
15,18127140,7,2,4,2
16,18127141,6,9,5,0
17,18127142,8,1,5,1
18,18127143,5,6,5,1
19,18127147,3,4,6,1
20,18127148,9,9,3,2
21,18127153,6,5,4,1
22,18127168,2,4,7,2
23,18127169,9,7,8,0
24,18127176,8,5,5,1
25,18127177,8,7,4,1
26,18127183,9,6,7,2
27,18127186,7,6,9,1
28,18127188,7,4,5,2
29,18127192,5,7,4,2
30,18127204,7,8,3,1
31,18127215,9,8,7,2
32,18127216,6,1,8,1
33,18127217,7,5,5,2
34,18127234,6,4,2,2
35,18127238,5,7,1,1
36,18127247,5,8,5,2
37,18127257,6,2,6,1
38,18127264,7,6,8,1
