No,Student ID,Mid Term,End Term,Lab,Extra
1,18127001,1,1,1,1
2,18127002,2,2,2,2
3,18127003,3,3,9,3
4,18127004,5,1,7,1
5,18127005,3,3,5,1
6,18127006,1,5,3,0
7,18127007,2,7,6,0
8,18127008,3,8,8,1
9,18127010,5,9,4,2
10,18127011,1,9,6,2
11,18127014,2,7,7,1
12,18127016,4,8,3,1
13,18127017,6,9,5,1
14,18127027,8,8,7,0
15,18127029,4,9,2,2
16,18127030,5,9,4,2
17,18127072,5,8,5,3
18,18127079,7,9,2,0
19,18127092,3,7,4,0
20,18127095,3,8,6,1
21,18127098,5,9,8,2
22,18127099,3,6,4,3
23,18127118,2,5,6,1
24,18127136,3,5,3,2
25,18127202,3,7,5,2
26,18127208,1,4,7,1
27,18127223,3,5,8,3
28,18127226,5,6,4,2
29,18127236,6,3,7,2
30,18127242,8,7,2,3
31,18127246,4,4,4,1
32,18127259,6,5,7,0
33,18127262,2,2,2,0
34,18127263,3,4,4,1
35,18127265,4,5,9,2
36,18127267,6,7,10,1
37,18127268,3,8,1,0
38,18127269,54,9,2,2
